               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.021989,            0.015409,          0.00077376,             0.81893,             0.64007,             0.66281,             0.26589,            0.048833,            0.026717,            0.010624,            0.001684,            0.001684,            0.001684
                  86,            0.021783,            0.014777,          0.00072515,             0.77007,             0.68318,             0.67928,             0.26505,            0.048216,            0.026347,            0.011296,            0.001585,            0.001585,            0.001585
                  87,            0.021103,            0.013965,          0.00064213,             0.75641,             0.68056,             0.66556,             0.26608,            0.048422,            0.026721,            0.011217,            0.001486,            0.001486,            0.001486
                  88,            0.021343,            0.014906,          0.00059101,             0.78112,             0.65666,              0.6754,             0.26658,            0.048408,            0.027043,            0.011278,            0.001387,            0.001387,            0.001387
                  89,            0.021174,            0.015027,          0.00058933,              0.7633,             0.67564,             0.67224,             0.26562,            0.048046,            0.027012,            0.011957,            0.001288,            0.001288,            0.001288
                  90,             0.02094,            0.014386,           0.0005102,             0.82821,             0.63694,             0.66838,             0.26555,            0.048388,            0.027275,            0.012234,            0.001189,            0.001189,            0.001189
                  91,             0.02065,            0.014012,          0.00050977,             0.77691,             0.68113,             0.66937,             0.26114,            0.048902,            0.027567,             0.01145,             0.00109,             0.00109,             0.00109
                  92,            0.020522,            0.014324,          0.00047411,             0.81557,             0.64307,             0.66125,             0.26158,            0.048832,            0.027737,            0.012027,            0.000991,            0.000991,            0.000991
                  93,            0.020315,            0.013438,           0.0004942,             0.81191,             0.64881,             0.66382,             0.26013,            0.049009,            0.027617,            0.011688,            0.000892,            0.000892,            0.000892
                  94,            0.020088,            0.013607,          0.00050084,             0.79613,             0.66286,             0.67116,             0.26201,            0.049115,            0.027526,            0.012074,            0.000793,            0.000793,            0.000793
                  95,            0.020287,            0.013853,          0.00050722,             0.78924,              0.6626,              0.6594,             0.26297,            0.049101,            0.028141,            0.012292,            0.000694,            0.000694,            0.000694
                  96,            0.020321,            0.014298,          0.00057028,             0.78666,             0.66881,             0.66348,             0.26519,            0.048819,            0.028045,            0.011882,            0.000595,            0.000595,            0.000595
                  97,            0.019998,            0.013847,          0.00051769,             0.77994,             0.67117,             0.66443,             0.26608,            0.048706,            0.027848,            0.011629,            0.000496,            0.000496,            0.000496
                  98,            0.019912,            0.013629,          0.00048287,             0.78477,             0.66931,             0.66911,             0.26684,            0.048795,            0.028066,             0.01199,            0.000397,            0.000397,            0.000397
                  99,            0.019913,            0.014212,          0.00048361,             0.78181,             0.66467,             0.67171,               0.267,            0.048724,            0.028029,            0.011802,            0.000298,            0.000298,            0.000298
